Longitude,Latitude,Name,Location
-111.604,36.86,Lees Ferry - Glen Canyon Area,Marble Canyon
-111.621,35.359,Lockett Meadow,Flagstaff
-109.776,34.142,Los Burros,Lakeside
-111.481,33.464,Lost Dutchman State Park,Apache Junction
-109.341,33.267,Lower Juan Miller,Clifton
-109.885,33.995,Lower Log,Hon-Dah
-112.46,34.455,Lower Wolf Creek,Prescott
-109.082,33.835,Luna Lake,Alpine
-109.376,34.359,Lyman Lake State Park,St. Johns
-112.388,34.517,Lynx Lake,Prescott
-111.745,34.936,Manzanita,
-112.12,36.05,Mather - Grand Canyon National Park,Grand Canyon
-109.73,34.045,McCoy Bridge,McNary
-111.722,33.684,McDowell Mountain,Fountain Hills
-110.645,34.968,McHood,Winslow
-114.659,33.727,Midland LTVA Dispersed,Quartzite
-111.194,33.701,Mills Cove,
-112.12,34.693,Mingus Mountain,Clarkdale
-110.113,36.981,Mitten View - Monument Valley,
-114.472,32.817,Mittry Lake Dispersed,Yuma
-110.957,34.321,Mogollon,Forest Lakes
-110.692,32.337,Molino Basin,Tucson
-110.543,36.682,Navajo National Monument,Kayenta
-114.435,34.714,Needle Mt Road Dispersed,Topock
-112.061,36.211,North Rim - Grand Canyon National Park,
-111.051,33.308,Oak Flat,Superior
-111.253,33.762,Orange Peel,
-109.309,32.967,Owl Creek,Threeway
-114.723,33.396,Oxbow,
-109.535,33.773,Pacheta Lake,Alpine
-114.17,35.452,Packsaddle,Kingman
-113.048,33.023,Painted Rock,Gila Bend
-110.854,31.49,Patagonia Lake State Park,Patagonia
-110.716,32.538,Peppersauce,Oracle
-111.66,33.546,Phon D Sutton,New Franklin
-111.398,32.646,Picacho Peak State Park,Picacho
-110.83,33.287,Pinal,Globe
-111.738,35.013,Pine Flat,Sedona
-111.812,35.224,Pine View RV Military - Camp Navajo,Bellemont
-111.462,35.028,Pinegrove,Flagstaff
-109.271,31.933,Pinery Canyon,Portal
-110.797,33.28,Pioneer Pass,Globe
-111.113,34.299,Ponderosa,Payson
-112.154,34.711,Potato Patch,Clarkdale
-112.069,34.578,Powell Springs,Camp Verde
-114.2,33.66,Quartzite - La Paz Valley,Quartzite
