Longitude,Latitude,Name,Location
-90.908,42.324,Fillmore County Rec Area,Fillmore
-90.806,42.654,Finleys Landing City Park,Dubuque
-91.118,41.27,Flaming Prairie Park,Grandview
-91.908,42.604,Fontana County Park,Independence
-93.046,42.158,Forest Reserve - Marshalltown,Liscomb
-91.311,42.614,Fountain Springs County Park,Greeley
-90.968,41.063,Fourth Pumping Plant Rec Area,Kingston
-94.207,42.677,Frank A Gotch Park,Humboldt
-91.106,42.852,Frenchtown County Park,Guttenberg
-91.471,42.908,Friedens County Park,Elkader
-95.917,41.268,Friendship City Park,Council Bluffs
-94.865,43.393,Ft. Defiance State Park,Estherville
-95.414,42.506,Galva City Park,Galva
-93.222,42.886,Galvin Memorial Park,Sheffield
-92.85,42.938,Gates Bridge County Park,Marble Rock
-91.383,40.824,Geode State Park,Danville
-92.946,43.054,George Wyatt City Park,Rockford
-92.396,42.536,George Wyth State Park,Cedar Falls
-91.632,42.959,Gilbertson Conservation Education Area,Elgin
-92.592,41.343,Glendale Access,Oskaloosa
-95.734,41.048,Glenwood Lake Park,Glenwood
-91.837,43.041,Goeken Co Park,West Union
-94.689,42.551,Gordon Prange City Park,Pomeroy
-91.957,43.009,Gouldsburg County Park,Hawkeye
-93.033,42.168,Grammer Grove Wildlife Area,Liscomb
-94.893,42.264,Grant County Park,Auburn
-91.362,40.79,Grays Landing,Denmark
-95.081,41.9,Great Western Co Park,Manning
-94.383,41.115,Green Valley State Park,Creston
-92.802,42.893,Greene Rec Area - Camp Comfort,Greene
-95.165,43.371,Gull Point State Park,Milford
-94.967,40.984,Hacklebarney Woods County Park,Villisca
-94.998,42.385,Hagge County Park,Sac City
-92.923,43.354,Halvorson Park,St. Ansgar
-92.112,41.863,Hannen County Park,Blairstown
-92.411,43.119,Haus Park,North Washingt
-96.488,43.003,Hawarden City Park,Hawarden
-94.37,41.988,Henderson Co Park,Jefferson
-93.353,41.99,Hickory Grove County Park,Nevada
-92.311,42.27,Hickory Hills Park -  La Porte City,La Porte City
-93.609,41.18,Hickory Hills Park - New Virginia,New Virgiinia
-91.521,41.555,Hills Access,Hills
-95.853,43.191,Hills Park - Sheldon,Sheldon
-96.319,42.637,Hillview County Rec Area,Hinton
-95.857,41.413,Hitchcock County Nature Center,Honey Creek
-91.976,42.164,Hoefle - Dulin Area County Park,Vinton
-91.311,42.614,Holbert Park,Greeley
-92.928,40.861,Honey Creek State Park,Moravia
